DATE,ID,ANVIL,HAMMER,FRAGMENTATION,WEIGHT,LENGTH,WIDTH,THICKNESS,FRAGMENTATION1,WEIGHT1,LENGTH1,WIDTH1,THICKNESS1,FRAGMENTATION2,WEIGHT2,LENGTH2,WIDTH2,THICKNESS2,ALMENDRAS,SHELLS,HCRABS,COCO,RESIDUE,SITE TYPE,SITE LOCATION,COMMENTS
03/24/19,190324T01,StoneA,1,Whole,387.5,103.7,66.26,47.52,,,,,,,,,,,Yes,Yes,Yes,Yes,"mainly almandras and coco,few other food",3,Beach/Stre,"no coco trees around, fresh almandras"
03/24/19,190324T02,WoodenA,1,Whole,1056,151.64,80.1,60.19,,,,,,,,,,,Yes,Yes,Yes,Yes,"mainly almandras and coco, a few shells",2,Streambank,stream bank on the beach; fresh almendra
03/24/19,190324T03,WoodenA,1,Broken,308.05,65.17,67.34,53.95,,,,,,,,,,,Yes,Yes,Yes,Yes,mainly almendras,2,Streambank,
03/24/19,190324T04,StoneA,1,Whole,633,114.98,47.28,53.56,,,,,,,,,,,Yes,Yes,No,Yes,mainly coconut,3,Streambank,
03/24/19,190324T05,WoodenA,1,Whole,1035,134.04,113.79,51.75,,,,,,,,,,,Yes,No,No,No,,2,Beach,"pebble hammer, palm tree on the beach"
03/25/19,190325T01,StoneA,1,Broken,145.1,87.93,43.73,40.08,,,,,,,,,,,No,Yes,No,Yes,,1,Stream,
03/25/19,190325T02,StoneA,1,Whole,886,197,101.25,51.06,,,,,,,,,,,No,Yes,No,No,a few frags only,1,Stream,
03/25/19,190325T03,StoneA,1,Whole,333,112.26,53.42,39.79,,,,,,,,,,,No,Yes,No,Yes,cocnut a bit firther away,1,Stream,
03/25/19,190325T04,StoneA,1,Whole,225.5,93.25,51.47,50.59,,,,,,,,,,,No,Yes,No,No,,1,Stream,
03/25/19,190325T05,WoodenA,1,Whole,213,81,54.27,44.58,,,,,,,,,,,No,Yes,No,No,,1,Stream,
03/25/19,190325T06,StoneA,1,Whole,833,135.15,81.77,65.92,,,,,,,,,,,No,Yes,No,No,,1,Stream,
03/25/19,190325T07,WoodenA,1,Whole,755,117,83.96,50.84,,,,,,,,,,,Yes,No,No,No,1 almandra piece only,1,Stream,
03/25/19,190325T08,StoneA,1,Whole,1455,151.59,121.59,73.71,,,,,,,,,,,Yes,No,No,Yes,fresh almandras,1,Stream,prob used that morning
03/25/19,190325T09,StoneA,1,Whole,668,119.82,104.93,50.99,,,,,,,,,,,Yes,No,No,No,fresh alm,1,Stream,"small anvil, close to the beach"
03/25/19,190325T10,StoneA,1,Whole,1133,125.02,94.45,87.4,,,,,,,,,,,Yes,Yes,Yes,No,fresh,1,Stream,"close ot the beach, where stream ends"
03/25/19,190325T11,WoodenA,1,Whole,650,101.82,89.58,60.30,,,,,,,,,,,Yes,No,No,Yes,few residues,1,Stream,"a few residue on the wood itself, fresh"
03/25/19,190325T12,WoodenA,1,Whole,688,114.77,96.62,50,,,,,,,,,,,Yes,No,Yes,Yes,fresh,1,Stream,
03/25/19,190325T13,StoneA,1,Refit,526,120.95,80.06,50.02,,,,,,,,,,,Yes,No,No,No,,1,Stream,very few alm (1 or 2)
03/26/19,190326T01,StoneA,1,Broken,399,97.79,53.96,58.02,,,,,,,,,,,Yes,Yes,Yes,Yes,"mainly alm and coco, large amounts",3,Streambank,
03/26/19,190326T02,N/A,N/A,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,,2,Streambank,"no clear hammer/anvils,deposit as anvil"
03/26/19,190326T03,WoodenA,1,Broken,132,93.25,55,36.89,,,,,,,,,,,Yes,No,Yes,Yes,,1,Streambank,
03/26/19,190326T04,WoodenA,No,N/A,,,,,,,,,,,,,,,Yes,No,No,Yes,,1,Streambank,sparce activity remains
03/26/19,190326T05,StoneA,1,Whole,526,131.94,76.46,62.68,,,,,,,,,,,Yes,No,No,Yes,thick almandra deposit!,3,Streambank,"thick and compact deposit, archeo!"
03/26/19,190326T06,WoodenA,1,Whole,164.8,90.56,65.63,27.76,,,,,,,,,,,No,Yes,No,No,not a lot of residue,1,Stream,
03/26/19,190326T07,StoneA,1,Whole,706,99.7,66.68,64.42,,,,,,,,,,,No,Yes,No,No,few res,1,Stream,
03/26/19,190326T08,StoneA,1,Whole,765,128.69,102.57,59.72,,,,,,,,,,,Yes,No,No,No,,1,Stream,
03/26/19,190326T09,StoneA,1,Refit,594,153.07,93.62,68.44,,788,138.03,63.84,68.44,,,,,,No,Yes,No,No,sparce,1,Streambank,two fragments of the same hammer recorded separately
03/26/19,190326T10,StoneA,2,Refit,449.5,138.03,63.84,53.51,Whole,809,146.07,104.63,51.34,,,,,,Yes,Yes,No,Yes,plus palm remains,1,Stream,
