DATE,ID,ANVIL,HAMMER,FRAGMENTATION,WEIGHT,LENGTH,WIDTH,THICKNESS,FRAGMENTATION1,WEIGHT1,LENGTH1,WIDTH1,THICKNESS1,FRAGMENTATION2,WEIGHT2,LENGTH2,WIDTH2,THICKNESS2,ALMENDRAS,SHELLS,HCRABS,COCO,RESIDUE,SITE TYPE,SITE LOCATION,COMMENTS
3/25/18,BBC03/25/18#1,StoneA,1,Whole,2256,155,138.4,79.25,,,,,,,,,,,Yes,No,No,No,A few fruits only,1,Beach,Very large hammer
3/25/18,BBC03/25/18#2,StoneA,1,Whole,1224,144.78,111.65,62.94,,,,,,,,,,,Yes,No,No,No,residue on hammer and anvil,1,Beach,
3/25/18,BBC03/25/18#3,StoneA,1,Whole,782,115.59,99.39,66.58,,,,,,,,,,,Yes,No,No,No,large amount,2,Beach,"cleaned anvil, no discernable percu"
3/25/18,BBC03/25/18#4,StoneA,1,Refit,642,104.08,86.46,61.16,,,,,,,,,,,Yes,No,No,No,"2-3 processed fruits, 2 fresh, tree bark",1,Beach,interrupted?
3/26/18,BBC03/26/18#1,StoneA,1,Whole,1324,165,93.02,97.93,,,,,,,,,,,No,No,No,No,"Possible site, no remains, inland",N/A,Stream,site? Further inland
3/26/18,BBC03/26/18#2,StoneA,1,Whole,1182,160,96.32,78.84,,,,,,,,,,,N/A,N/A,No,No,No obersvation,1,Stream,
3/26/18,BBC03/26/18#3,StoneA,No,,,,,,,,,,,,,,,,N/A,N/A,No,No,problem with camera,1,Stream,
3/26/18,BBC03/26/18#4,StoneA,1,Whole,899,130.32,96.07,56.7,,,,,,,,,,,Yes,Yes,N/A,No,"a few residue, fresh almendra and opened",1,Stream,
3/26/18,BBC03/26/18#5,StoneA,2,Whole,803,118.39,67.62,80.05,Broken,170,74.37,55.88,42.47,,,,,,Yes,No,No,No,Almendras residue ,1,Stream,Washed out site?
3/26/18,BBC03/26/18#6,StoneA,1,Whole,455,119.92,83.94,55.09,,,,,,,,,,,No,Yes,No,No,small shell fragments,1,Stream,leaf underneath hammer
