Nr,Date,Identifier,Prey_spec ,Prey_type,Location,Island,Weight ,Length,Width_25,Width_50,Width_75,Max_Width,Thickness_25,Thickness_50,Thickness_75,Max_thick,Material
1,26_01_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,336,111,52,65,73,73,27,28,38,38,Limestone
2,08_02_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,215,92,55,62,62,62,37,40,37,40,Limestone
3,28_01_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,96,71,47,57,55,57,22,27,26,27,Limestone
4,08_02_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,172,120,80,80,80,80,40,40,40,40,Limestone
5,09_02_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,588,149,82,82,82,82,62,62,62,62,Limestone
6,09_02_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,409,92,73,73,73,73,46,46,46,46,Limestone
7,26_01_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,124,70,49,49,49,49,23,23,23,23,Limestone
8,26_01_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,411,115,73,73,73,73,48,48,48,48,Limestone
9,26_01_2017,TOOL,M_LABIO,Snail,Phang Nga,AO_LOBI,589,128,86,86,86,86,60,60,60,60,Limestone
10,22_01_2017,TOOL,M_LABIO,Snail,Phang Nga,KOH_BOI,161,71,40,55,45,55,41,37,34,41,Limestone
11,22_01_2017,TOOL,M_LABIO,Snail,Phang Nga,KOH_BOI,51,51,30,39,35,35,21,22,20,22,Limestone
12,22_01_2017,TOOL,M_LABIO,Snail,Phang Nga,KOH_BOI,31,44,20,24,22,24,18,23,23,23,Limestone
13,27_01_2017,TOOL,MORULA,Snail,Phang Nga,KOH_BOI,108,53,40,47,45,47,26,30,33,33,Limestone
14,03_02_2017,TOOL,MORULA,Snail,Phang Nga,KOH_BOI,100,59,32,40,42,42,29,32,31,32,Limestone
15,09_02_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,173,70,39,57,64,64,33,41,38,41,Limestone
16,09_02_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,81,69,35,31,34,35,18,24,26,26,Limestone
17,09_02_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,228,85,42,71,80,80,30,38,37,38,Limestone
18,27_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,170,87,45,68,67,68,28,32,27,32,Limestone
19,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,474,93,49,75,66,75,56,61,55,61,Limestone
20,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,463,108,55,64,68,68,44,40,56,56,Limestone
21,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,116,79,50,34,27,50,39,40,34,40,Limestone
22,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,172,79,36,44,59,59,28,34,36,36,Limestone
23,08_02_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,97,94,72,72,72,72,18,18,18,18,Limestone
24,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,661,98,61,61,61,61,30,30,30,30,Limestone
25,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,239,104,74,74,74,74,21,21,21,21,Limestone
26,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,222,110,50,50,50,50,40,40,40,40,Limestone
27,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,243,66,64,64,64,64,34,34,34,34,Limestone
28,26_01_2017,TOOL,NERITE,Snail,Phang Nga,AO_LOBI,203,105,76,76,76,76,17,17,17,17,Limestone
