TRANSECT;ANVIL;LENGTH;WIDTH;HEIGHT;WEIGHT;SHAPE;NOTES
BBC;CEBUS-01;79;54;47;155;I;No stones found in transect points 7-14, 18, 19, 23 and 25 of parallel to coast transect
BBC;CEBUS-01;45;29;16;21;I;
BBC;CEBUS-01;91;68;38;193;I;
BBC;CEBUS-01;84;72;48;203;I;
BBC;CEBUS-01;57;39;14;48;R;
BBC;CEBUS-01;79;47;41;123;U;
BBC;CEBUS-01;50;44;30;59;I;
BBC;CEBUS-01;90;62;56;180;I;
BBC;CEBUS-01;62;42;28;58;R;
BBC;CEBUS-01;90;64;31;198;R;
BBC;CEBUS-01;48;31;25;37;I;
BBC;CEBUS-01;56;52;33;85;I;
BBC;CEBUS-01;51;43;31;84;I;
BBC;CEBUS-01;93;51;26;118;R;
BBC;CEBUS-01;111;72;47;314;I;
BBC;CEBUS-01;128;62;53;414;I;
BBC;CEBUS-01;61;54;19;65;R;
BBC;CEBUS-01;98;64;35;156;I;
BBC;CEBUS-01;93;46;38;136;I;
BBC;CEBUS-01;129;66;38;293;R;
BBC;CEBUS-01;81;57;23;167;I;
BBC;CEBUS-01;73;43;48;177;I;
BBC;CEBUS-01;44;24;21;27;R;
BBC;CEBUS-01;51;45;30;60;I;
BBC;CEBUS-01;47;31;25;41;I;
BBC;CEBUS-01;44;27;18;16;R;
BBC;CEBUS-01;47;23;19;17;I;
BBC;CEBUS-01;52;43;32;61;I;
BBC;CEBUS-01;65;53;36;96;I;
BBC;CEBUS-01;36;21;21;17;R;
BBC;CEBUS-01;45;23;21;16;I;
BBC;CEBUS-01;29;23;22;14;I;
BBC;CEBUS-01;32;22;21;14;I;
BBC;CEBUS-01;42;37;18;28;I;
BBC;CEBUS-01;46;23;19;22;U;
WATERFALL;CEBUS-07;123;106;66;767;I;No stones in transect points 19, 23-25 of inland transect
WATERFALL;CEBUS-07;117;67;50;483;R;
WATERFALL;CEBUS-07;130;91;84;763;I;
WATERFALL;CEBUS-07;67;60;43;166;I;
WATERFALL;CEBUS-07;80;89;33;125;I;
WATERFALL;CEBUS-07;59;47;41;105;R;
WATERFALL;CEBUS-07;70;66;47;139;I;
WATERFALL;CEBUS-07;71;47;32;90;I;
WATERFALL;CEBUS-07;96;46;35;132;I;
WATERFALL;CEBUS-07;86;54;37;115;I;
WATERFALL;CEBUS-07;77;69;43;172;I;
WATERFALL;CEBUS-07;85;68;50;203;I;
WATERFALL;CEBUS-07;55;47;25;59;R;
WATERFALL;CEBUS-07;54;48;25;78;R;
WATERFALL;CEBUS-07;42;35;26;31;O;
WATERFALL;CEBUS-07;55;44;34;70;I;
WATERFALL;CEBUS-07;58;33;22;30;I;
WATERFALL;CEBUS-07;75;54;34;128;I;
WATERFALL;CEBUS-07;61;37;30;84;I;
WATERFALL;CEBUS-07;53;40;24;42;I;
WATERFALL;CEBUS-07;58;23;39;70;R;
WATERFALL;CEBUS-07;59;41;20;44;I;
WATERFALL;CEBUS-07;63;22;20;38;I;
WATERFALL;CEBUS-07;35;32;19;29;I;
WATERFALL;CEBUS-07;69;50;34;114;O;
WATERFALL;CEBUS-07;56;38;37;77;I;
WATERFALL;CEBUS-07;49;34;28;42;I;
WATERFALL;CEBUS-07;30;28;28;24;I;
WATERFALL;CEBUS-07;55;46;35;83;I;
WATERFALL;CEBUS-07;54;34;32;57;I;
WATERFALL;CEBUS-07;60;51;42;95;I;
WATERFALL;CEBUS-07;60;42;21;70;R;
WATERFALL;CEBUS-07;60;55;46;95;I;
WATERFALL;CEBUS-07;47;41;26;42;I;
WATERFALL;CEBUS-07;45;37;24;46;R;
WATERFALL;CEBUS-07;47;31;21;31;R;
WATERFALL;CEBUS-07;43;32;31;40;I;
WATERFALL;CEBUS-07;56;50;16;51;R;
WATERFALL;CEBUS-07;52;40;27;60;I;
WATERFALL;CEBUS-07;67;51;41;120;I;
WATERFALL;CEBUS-07;57;57;28;90;I;
WATERFALL;CEBUS-07;68;50;36;95;I;
WATERFALL;CEBUS-07;43;39;22;37;O;
WATERFALL;CEBUS-07;41;32;23;35;I;
WATERFALL;CEBUS-07;36;19;20;15;I;
WATERFALL;CEBUS-07;32;27;17;16;O;
